y, x, f(x)
1.0005,0.0001,5.0025
1.001,0.0002,5.005
1.0015,0.0003,5.00751
1.002,0.0004,5.01001
1.0025,0.0005,5.01252
1.003,0.0006,5.01502
1.00351,0.0007,5.01753
1.00401,0.0008,5.02004
1.00451,0.0009,5.02255
1.00501,0.001,5.02506
1.00552,0.0011,5.02758
1.00602,0.0012,5.03009
1.00652,0.0013,5.03261
1.00702,0.0014,5.03512
1.00753,0.0015,5.03764
1.00803,0.0016,5.04016
1.00854,0.0017,5.04268
1.00904,0.0018,5.0452
1.00955,0.0019,5.04773
1.01005,0.002,5.05025
1.01056,0.0021,5.05278
1.01106,0.0022,5.0553
1.01157,0.0023,5.05783
1.01207,0.0024,5.06036
1.01258,0.0025,5.06289
1.01308,0.0026,5.06542
1.01359,0.0027,5.06796
1.0141,0.0028,5.07049
1.01461,0.0029,5.07303
1.01511,0.003,5.07557
1.01562,0.0031,5.0781
1.01613,0.0032,5.08064
1.01664,0.0033,5.08318
1.01715,0.0034,5.08573
1.01765,0.0035,5.08827
1.01816,0.0036,5.09081
1.01867,0.0037,5.09336
1.01918,0.0038,5.09591
1.01969,0.0039,5.09846
1.0202,0.004,5.10101
1.02071,0.0041,5.10356
1.02122,0.0042,5.10611
1.02173,0.0043,5.10866
1.02224,0.0044,5.11122
1.02276,0.0045,5.11378
1.02327,0.0046,5.11633
1.02378,0.0047,5.11889
1.02429,0.0048,5.12145
1.0248,0.0049,5.12401
1.02532,0.005,5.12658
1.02583,0.0051,5.12914
1.02634,0.0052,5.13171
1.02685,0.0053,5.13427
1.02737,0.0054,5.13684
1.02788,0.0055,5.13941
1.0284,0.0056,5.14198
1.02891,0.0057,5.14455
1.02942,0.0058,5.14712
1.02994,0.0059,5.1497
1.03045,0.006,5.15227
1.03097,0.0061,5.15485
1.03149,0.0062,5.15743
1.032,0.0063,5.16001
1.03252,0.0064,5.16259
1.03303,0.0065,5.16517
1.03355,0.0066,5.16775
1.03407,0.0067,5.17034
1.03458,0.0068,5.17292
1.0351,0.0069,5.17551
1.03562,0.007,5.1781
1.03614,0.0071,5.18069
1.03666,0.0072,5.18328
1.03717,0.0073,5.18587
1.03769,0.00739999,5.18847
1.03821,0.00749999,5.19106
1.03873,0.00759999,5.19366
1.03925,0.00769999,5.19625
1.03977,0.00779999,5.19885
1.04029,0.00789999,5.20145
1.04081,0.00799999,5.20405
1.04133,0.00809999,5.20666
1.04185,0.00819999,5.20926
1.04237,0.00829999,5.21187
1.04289,0.00839999,5.21447
1.04342,0.00849999,5.21708
1.04394,0.00859999,5.21969
1.04446,0.00869999,5.2223
1.04498,0.00879999,5.22491
1.0455,0.00889999,5.22752
1.04603,0.00899999,5.23014
1.04655,0.00909999,5.23275
1.04707,0.00919999,5.23537
1.0476,0.00929999,5.23799
1.04812,0.00939999,5.24061
1.04865,0.00949999,5.24323
1.04917,0.00959999,5.24585
1.0497,0.00969999,5.24848
1.05022,0.00979999,5.2511
1.05075,0.00989999,5.25373
1.05127,0.00999999,5.25635
1.0518,0.0101,5.25898
1.05232,0.0102,5.26161
1.05285,0.0103,5.26425
1.05338,0.0104,5.26688
1.0539,0.0105,5.26951
1.05443,0.0106,5.27215
1.05496,0.0107,5.27478
1.05548,0.0108,5.27742
1.05601,0.0109,5.28006
1.05654,0.011,5.2827
1.05707,0.0111,5.28534
1.0576,0.0112,5.28799
1.05813,0.0113,5.29063
