for S =1 :
y, x, f(x)
1.0101,0.01,1.01
1.0202,0.02,1.01
1.0303,0.03,1.01
1.0404,0.04,1.01
1.0505,0.05,1.01
1.0606,0.06,1.01
1.0707,0.07,1.01
1.0808,0.08,1.01
1.0909,0.09,1.01
1.101,0.1,1.01
1.1111,0.11,1.01
1.1212,0.12,1.01
1.1313,0.13,1.01
1.1414,0.14,1.01
1.1515,0.15,1.01
1.1616,0.16,1.01
1.1717,0.17,1.01
1.1818,0.18,1.01
1.1919,0.19,1.01
1.202,0.2,1.01
1.2121,0.21,1.01
1.2222,0.22,1.01
1.2323,0.23,1.01
1.2424,0.24,1.01
1.2525,0.25,1.01
1.2626,0.26,1.01
1.2727,0.27,1.01
1.2828,0.28,1.01
1.2929,0.29,1.01
1.303,0.3,1.01
1.3131,0.31,1.01
1.3232,0.32,1.01
1.3333,0.33,1.01
1.3434,0.34,1.01
1.3535,0.35,1.01
1.3636,0.36,1.01
1.3737,0.37,1.01
1.3838,0.38,1.01
1.3939,0.39,1.01
1.404,0.4,1.01
1.4141,0.41,1.01
1.4242,0.42,1.01
1.4343,0.43,1.01
1.4444,0.44,1.01
1.4545,0.45,1.01
1.4646,0.46,1.01
1.4747,0.47,1.01
1.4848,0.48,1.01
1.4949,0.49,1.01
1.505,0.5,1.01
1.5151,0.51,1.01
1.5252,0.52,1.01
1.5353,0.53,1.01
1.5454,0.54,1.01
1.5555,0.55,1.01
1.5656,0.56,1.01
1.5757,0.57,1.01
1.5858,0.58,1.01
1.5959,0.59,1.01
1.606,0.6,1.01
1.6161,0.61,1.01
1.6262,0.62,1.01
1.6363,0.63,1.01
1.6464,0.64,1.01
1.6565,0.65,1.01
1.6666,0.66,1.01
1.6767,0.67,1.01
1.6868,0.68,1.01
1.6969,0.69,1.01
1.707,0.7,1.01
1.7171,0.71,1.01
1.7272,0.72,1.01
1.7373,0.73,1.01
1.7474,0.74,1.01
1.7575,0.75,1.01
1.7676,0.76,1.01
1.7777,0.77,1.01
1.7878,0.78,1.01
1.7979,0.79,1.01
1.808,0.8,1.01
1.8181,0.81,1.01
1.8282,0.82,1.01
1.8383,0.83,1.01
1.8484,0.839999,1.01
1.8585,0.849999,1.01
1.8686,0.859999,1.01
1.8787,0.869999,1.01
1.8888,0.879999,1.01
1.8989,0.889999,1.01
1.909,0.899999,1.01
1.9191,0.909999,1.01
1.9292,0.919999,1.01
1.9393,0.929999,1.01
1.9494,0.939999,1.01
1.9595,0.949999,1.01
1.9696,0.959999,1.01
1.9797,0.969999,1.01
1.9898,0.979999,1.01
1.9999,0.989999,1.01
2.01,0.999999,1.01
2.0201,1.01,1.01
2.0302,1.02,1.01
2.0403,1.03,1.01
2.0504,1.04,1.01
2.0605,1.05,1.01
2.0706,1.06,1.01
2.0807,1.07,1.01
2.0908,1.08,1.01
2.1009,1.09,1.01
2.111,1.1,1.01
2.1211,1.11,1.01
2.1312,1.12,1.01
2.1413,1.13,1.01
2.1514,1.14,1.01
2.1615,1.15,1.01
2.1716,1.16,1.01
2.1817,1.17,1.01
2.1918,1.18,1.01
2.2019,1.19,1.01
2.212,1.2,1.01
2.2221,1.21,1.01
2.2322,1.22,1.01
2.2423,1.23,1.01
2.2524,1.24,1.01
2.2625,1.25,1.01
2.2726,1.26,1.01
2.2827,1.27,1.01
2.2928,1.28,1.01
2.3029,1.29,1.01
2.313,1.3,1.01
2.3231,1.31,1.01
2.3332,1.32,1.01
2.3433,1.33,1.01
2.3534,1.34,1.01
2.3635,1.35,1.01
2.3736,1.36,1.01
2.3837,1.37,1.01
2.3938,1.38,1.01
2.4039,1.39,1.01
2.414,1.4,1.01
2.4241,1.41,1.01
2.4342,1.42,1.01
2.4443,1.43,1.01
2.4544,1.44,1.01
2.4645,1.45,1.01
2.4746,1.46,1.01
2.4847,1.47,1.01
2.4948,1.48,1.01
2.5049,1.49,1.01
2.515,1.5,1.01
2.52509,1.51,1.01
2.53519,1.52,1.01
2.54529,1.53,1.01
2.55539,1.54,1.01
2.56549,1.55,1.01
2.57559,1.56,1.01
2.58569,1.57,1.01
2.59579,1.58,1.01
2.60589,1.59,1.01
