y, x, f(x)
1.0005,0.0005,1.0005
1.001,0.001,1.001
1.0015,0.0015,1.0015
1.002,0.002,1.002
1.0025,0.0025,1.0025
1.003,0.003,1.003
1.00351,0.0035,1.00351
1.00401,0.004,1.00401
1.00451,0.0045,1.00451
1.00501,0.005,1.00501
1.00552,0.0055,1.00552
1.00602,0.006,1.00602
1.00652,0.0065,1.00652
1.00702,0.007,1.00702
1.00753,0.0075,1.00753
1.00803,0.008,1.00803
1.00854,0.0085,1.00854
1.00904,0.009,1.00904
1.00955,0.0095,1.00955
1.01005,0.01,1.01005
1.01056,0.0105,1.01056
1.01106,0.011,1.01106
1.01157,0.0115,1.01157
1.01207,0.012,1.01207
1.01258,0.0125,1.01258
1.01308,0.013,1.01308
1.01359,0.0135,1.01359
1.0141,0.014,1.0141
1.01461,0.0145,1.01461
1.01511,0.015,1.01511
1.01562,0.0155,1.01562
1.01613,0.016,1.01613
1.01664,0.0165,1.01664
1.01715,0.017,1.01715
1.01765,0.0175,1.01765
1.01816,0.018,1.01816
1.01867,0.0185,1.01867
1.01918,0.019,1.01918
1.01969,0.0195,1.01969
1.0202,0.02,1.0202
1.02071,0.0205,1.02071
1.02122,0.021,1.02122
1.02173,0.0215,1.02173
1.02224,0.022,1.02224
1.02276,0.0225,1.02276
1.02327,0.023,1.02327
1.02378,0.0235,1.02378
1.02429,0.024,1.02429
1.0248,0.0245,1.0248
1.02532,0.025,1.02532
1.02583,0.0255,1.02583
1.02634,0.026,1.02634
1.02685,0.0265,1.02685
1.02737,0.027,1.02737
1.02788,0.0275,1.02788
1.0284,0.028,1.0284
1.02891,0.0285,1.02891
1.02942,0.029,1.02942
1.02994,0.0295,1.02994
1.03045,0.03,1.03045
1.03097,0.0305,1.03097
1.03149,0.031,1.03149
1.032,0.0315,1.032
1.03252,0.032,1.03252
1.03303,0.0325,1.03303
1.03355,0.033,1.03355
1.03407,0.0335,1.03407
1.03458,0.034,1.03458
1.0351,0.0345,1.0351
1.03562,0.035,1.03562
1.03614,0.0355,1.03614
1.03666,0.036,1.03666
1.03717,0.0365,1.03717
1.03769,0.037,1.03769
1.03821,0.0375,1.03821
1.03873,0.038,1.03873
1.03925,0.0385,1.03925
1.03977,0.039,1.03977
1.04029,0.0395,1.04029
1.04081,0.04,1.04081
1.04133,0.0405,1.04133
1.04185,0.041,1.04185
1.04237,0.0415,1.04237
1.04289,0.042,1.04289
1.04342,0.0425,1.04342
1.04394,0.043,1.04394
1.04446,0.0435,1.04446
1.04498,0.044,1.04498
1.0455,0.0445,1.0455
1.04603,0.045,1.04603
1.04655,0.0455,1.04655
1.04707,0.046,1.04707
1.0476,0.0465,1.0476
1.04812,0.047,1.04812
1.04865,0.0475,1.04865
1.04917,0.048,1.04917
1.0497,0.0485,1.0497
1.05022,0.049,1.05022
1.05075,0.0495,1.05075
1.05127,0.05,1.05127
1.0518,0.0505,1.0518
1.05232,0.051,1.05232
1.05285,0.0515,1.05285
1.05338,0.052,1.05338
1.0539,0.0525,1.0539
1.05443,0.053,1.05443
1.05496,0.0535,1.05496
1.05548,0.054,1.05548
1.05601,0.0545,1.05601
1.05654,0.055,1.05654
1.05707,0.0555,1.05707
1.0576,0.056,1.0576
1.05813,0.0565,1.05813
1.05866,0.057,1.05866
1.05919,0.0575,1.05919
1.05971,0.058,1.05971
1.06024,0.0585,1.06024
1.06078,0.059,1.06078
1.06131,0.0595,1.06131
1.06184,0.06,1.06184
1.06237,0.0605,1.06237
1.0629,0.061,1.0629
1.06343,0.0615,1.06343
1.06396,0.062,1.06396
1.06449,0.0625,1.06449
1.06503,0.063,1.06503
1.06556,0.0635,1.06556
1.06609,0.064,1.06609
1.06663,0.0645,1.06663
1.06716,0.065,1.06716
1.06769,0.0655,1.06769
1.06823,0.066,1.06823
1.06876,0.0665,1.06876
1.0693,0.067,1.0693
1.06983,0.0675,1.06983
1.07037,0.068,1.07037
1.0709,0.0685,1.0709
1.07144,0.0690001,1.07144
1.07197,0.0695001,1.07197
1.07251,0.0700001,1.07251
1.07304,0.0705001,1.07304
1.07358,0.0710001,1.07358
1.07412,0.0715001,1.07412
1.07466,0.0720001,1.07466
1.07519,0.0725001,1.07519
1.07573,0.0730001,1.07573
1.07627,0.0735001,1.07627
1.07681,0.0740001,1.07681
1.07735,0.0745001,1.07735
1.07788,0.0750001,1.07788
1.07842,0.0755001,1.07842
1.07896,0.0760001,1.07896
1.0795,0.0765001,1.0795
1.08004,0.0770001,1.08004
1.08058,0.0775001,1.08058
1.08112,0.0780001,1.08112
1.08166,0.0785001,1.08166
1.0822,0.0790001,1.0822
1.08275,0.0795001,1.08275
1.08329,0.0800001,1.08329
1.08383,0.0805001,1.08383
1.08437,0.0810001,1.08437
1.08491,0.0815001,1.08491
1.08546,0.0820001,1.08546
1.086,0.0825001,1.086
1.08654,0.0830001,1.08654
1.08709,0.0835001,1.08709
1.08763,0.0840001,1.08763
1.08817,0.0845001,1.08817
1.08872,0.0850001,1.08872
1.08926,0.0855001,1.08926
1.08981,0.0860001,1.08981
1.09035,0.0865001,1.09035
1.0909,0.0870001,1.0909
1.09144,0.0875001,1.09144
1.09199,0.0880001,1.09199
1.09253,0.0885001,1.09253
1.09308,0.0890001,1.09308
1.09363,0.0895001,1.09363
1.09417,0.0900001,1.09417
1.09472,0.0905001,1.09472
1.09527,0.0910001,1.09527
1.09582,0.0915001,1.09582
1.09636,0.0920001,1.09636
1.09691,0.0925001,1.09691
1.09746,0.0930001,1.09746
1.09801,0.0935001,1.09801
1.09856,0.0940001,1.09856
1.09911,0.0945001,1.09911
1.09966,0.0950001,1.09966
1.10021,0.0955001,1.10021
1.10076,0.0960001,1.10076
1.10131,0.0965001,1.10131
1.10186,0.0970001,1.10186
1.10241,0.0975001,1.10241
1.10296,0.0980001,1.10296
1.10351,0.0985001,1.10351
1.10407,0.0990001,1.10407
1.10462,0.0995001,1.10462
1.10517,0.1,1.10517
1.10572,0.1005,1.10572
1.10628,0.101,1.10628
1.10683,0.1015,1.10683
1.10738,0.102,1.10738
1.10794,0.1025,1.10794
1.10849,0.103,1.10849
1.10905,0.1035,1.10905
1.1096,0.104,1.1096
1.11016,0.1045,1.11016
1.11071,0.105,1.11071
1.11127,0.1055,1.11127
1.11182,0.106,1.11182
1.11238,0.1065,1.11238
1.11293,0.107,1.11293
1.11349,0.1075,1.11349
1.11405,0.108,1.11405
1.1146,0.1085,1.1146
1.11516,0.109,1.11516
1.11572,0.1095,1.11572
1.11628,0.11,1.11628
1.11684,0.1105,1.11684
1.11739,0.111,1.11739
1.11795,0.1115,1.11795
1.11851,0.112,1.11851
1.11907,0.1125,1.11907
1.11963,0.113,1.11963
1.12019,0.1135,1.12019
1.12075,0.114,1.12075
1.12131,0.1145,1.12131
1.12187,0.115,1.12187
1.12243,0.1155,1.12243
1.123,0.116,1.123
1.12356,0.1165,1.12356
1.12412,0.117,1.12412
1.12468,0.1175,1.12468
1.12524,0.118,1.12524
1.12581,0.1185,1.12581
1.12637,0.119,1.12637
1.12693,0.1195,1.12693
1.1275,0.12,1.1275
1.12806,0.1205,1.12806
1.12862,0.121,1.12862
1.12919,0.1215,1.12919
1.12975,0.122,1.12975
1.13032,0.1225,1.13032
1.13088,0.123,1.13088
1.13145,0.1235,1.13145
1.13202,0.124,1.13202
1.13258,0.1245,1.13258
1.13315,0.125,1.13315
1.13372,0.1255,1.13372
1.13428,0.126,1.13428
1.13485,0.1265,1.13485
1.13542,0.127,1.13542
1.13598,0.1275,1.13598
1.13655,0.128,1.13655
1.13712,0.1285,1.13712
1.13769,0.129,1.13769
1.13826,0.1295,1.13826
1.13883,0.13,1.13883
1.1394,0.1305,1.1394
1.13997,0.131,1.13997
1.14054,0.1315,1.14054
1.14111,0.132,1.14111
1.14168,0.1325,1.14168
1.14225,0.133,1.14225
1.14282,0.1335,1.14282
