for S =1 :
y,x,f(x)
0.000120021,0.002,0.0100114
0.000140046,0.004,0.0100133
0.000160074,0.006,0.0100153
0.000180107,0.008,0.0100172
0.000200143,0.01,0.0100191
0.000220183,0.012,0.010021
0.000240227,0.014,0.0100229
0.000260275,0.016,0.0100248
0.000280326,0.018,0.0100267
0.000300382,0.02,0.0100286
0.000320441,0.022,0.0100306
0.000340504,0.024,0.0100325
0.000360571,0.026,0.0100344
0.000380642,0.028,0.0100363
0.000400716,0.03,0.0100382
0.000420794,0.032,0.0100402
0.000440877,0.034,0.0100421
0.000460963,0.036,0.010044
0.000481053,0.038,0.0100459
0.000501146,0.04,0.0100478
0.000521244,0.042,0.0100498
0.000541345,0.044,0.0100517
0.000561451,0.046,0.0100536
0.00058156,0.048,0.0100555
0.000601673,0.05,0.0100575
0.00062179,0.052,0.0100594
0.000641911,0.054,0.0100613
0.000662035,0.056,0.0100632
0.000682164,0.058,0.0100652
0.000702296,0.06,0.0100671
0.000722432,0.062,0.010069
0.000742572,0.064,0.010071
0.000762716,0.066,0.0100729
0.000782864,0.068,0.0100748
0.000803015,0.07,0.0100768
0.000823171,0.072,0.0100787
0.00084333,0.074,0.0100806
0.000863493,0.076,0.0100826
0.00088366,0.078,0.0100845
0.000903831,0.08,0.0100865
0.000924006,0.082,0.0100884
0.000944185,0.084,0.0100903
0.000964367,0.086,0.0100923
0.000984554,0.088,0.0100942
0.00100474,0.09,0.0100961
0.00102494,0.092,0.0100981
0.00104514,0.094,0.0101
0.00106534,0.0959999,0.010102
0.00108554,0.0979999,0.0101039
0.00110575,0.0999999,0.0101059
0.00112597,0.102,0.0101078
0.00114619,0.104,0.0101098
0.00116641,0.106,0.0101117
0.00118663,0.108,0.0101137
0.00120686,0.11,0.0101156
0.00122709,0.112,0.0101176
0.00124733,0.114,0.0101195
0.00126757,0.116,0.0101215
0.00128782,0.118,0.0101234
0.00130807,0.12,0.0101254
0.00132832,0.122,0.0101273
0.00134858,0.124,0.0101293
0.00136884,0.126,0.0101312
0.0013891,0.128,0.0101332
0.00140937,0.13,0.0101351
0.00142964,0.132,0.0101371
0.00144992,0.134,0.010139
0.0014702,0.136,0.010141
0.00149048,0.138,0.010143
0.00151077,0.14,0.0101449
0.00153106,0.142,0.0101469
0.00155136,0.144,0.0101488
0.00157166,0.146,0.0101508
0.00159196,0.148,0.0101528
0.00161227,0.15,0.0101547
0.00163258,0.152,0.0101567
0.00165289,0.154,0.0101587
0.00167321,0.156,0.0101606
0.00169354,0.158,0.0101626
0.00171386,0.16,0.0101646
0.0017342,0.162,0.0101665
0.00175453,0.164,0.0101685
0.00177487,0.166,0.0101705
0.00179521,0.168,0.0101724
0.00181556,0.17,0.0101744
0.00183591,0.172,0.0101764
0.00185626,0.174,0.0101784
0.00187662,0.176,0.0101803
0.00189699,0.178,0.0101823
0.00191735,0.18,0.0101843
0.00193772,0.182,0.0101863
0.0019581,0.184,0.0101882
